"Date","Price","Open","High","Low","Vol.","Change %"
"28-01-2025","3.471","3.699","3.720","3.361","63.82K","-6.11%"
"27-01-2025","3.697","3.785","3.827","3.609","66.94K","-8.19%"
"24-01-2025","4.027","3.933","4.050","3.808","87.57K","2.08%"
"23-01-2025","3.945","4.001","4.048","3.861","120.84K","12.52%"
"22-01-2025","3.506","3.371","3.532","3.321","138.13K","4.88%"
"21-01-2025","3.343","3.392","3.466","3.334","161.48K","-15.32%"
"17-01-2025","3.948","4.280","4.308","3.910","204.28K","-7.28%"
"16-01-2025","4.258","4.130","4.328","4.018","193.02K","4.29%"
"15-01-2025","4.083","3.955","4.141","3.859","169.34K","2.90%"
"14-01-2025","3.968","3.930","4.059","3.736","167.42K","0.86%"
"13-01-2025","3.934","4.347","4.369","3.845","195.51K","-1.38%"
"10-01-2025","3.989","3.709","4.018","3.685","229.11K","7.78%"
"09-01-2025","3.701","3.682","3.830","3.552","145.20K","1.37%"
"08-01-2025","3.651","3.448","3.694","3.427","189.26K","5.86%"
"07-01-2025","3.449","3.705","3.738","3.427","182.15K","-6.07%"
"06-01-2025","3.672","3.554","3.726","3.502","228.12K","9.48%"
"03-01-2025","3.354","3.669","3.680","3.330","188.09K","-8.36%"
"02-01-2025","3.660","3.656","3.801","3.541","156.67K","0.74%"
"31-12-2024","3.633","3.915","4.012","3.577","184.55K","-7.70%"
"30-12-2024","3.936","3.657","4.201","3.648","374.32K","12.01%"
"27-12-2024","3.514","3.707","3.887","3.370","2.52K","-5.41%"
"26-12-2024","3.715","3.970","4.010","3.652","67.21K","-5.85%"
"24-12-2024","3.946","3.695","3.958","3.666","66.85K","7.93%"
"23-12-2024","3.656","3.869","3.944","3.581","125.62K","7.15%"
"20-12-2024","3.412","3.327","3.457","3.264","165.73K","3.52%"
"19-12-2024","3.296","3.135","3.338","3.126","132.38K","5.81%"
"18-12-2024","3.115","3.123","3.175","3.084","111.29K","1.14%"
"17-12-2024","3.080","3.030","3.147","2.919","122.87K","13.99%"
"16-12-2024","2.702","2.710","2.727","2.672","89.64K","-17.62%"
"13-12-2024","3.280","3.458","3.489","3.264","213.64K","-5.07%"
"12-12-2024","3.455","3.364","3.559","3.282","328.09K","2.28%"
"11-12-2024","3.378","3.193","3.404","3.181","276.53K","6.80%"
"10-12-2024","3.163","3.189","3.193","3.069","233.88K","-0.60%"
"09-12-2024","3.182","3.260","3.324","3.137","258.43K","3.45%"
"06-12-2024","3.076","3.087","3.108","3.004","188.69K","-0.10%"
"05-12-2024","3.079","3.071","3.155","3.035","183.89K","1.18%"
"04-12-2024","3.043","3.048","3.088","2.977","171.70K","0.03%"
"03-12-2024","3.042","3.207","3.217","3.030","184.35K","-5.32%"
"02-12-2024","3.213","3.220","3.279","3.148","208.65K","-4.46%"
"29-11-2024","3.363","3.195","3.384","3.175","163.06K","4.96%"
"27-11-2024","3.204","3.468","3.470","3.189","214.29K","-6.62%"
"26-11-2024","3.431","3.330","3.500","3.255","3.24K","1.84%"
"25-11-2024","3.369","3.356","3.461","3.264","108.49K","7.67%"
"22-11-2024","3.129","3.390","3.563","3.071","95.81K","-6.29%"
"21-11-2024","3.339","3.216","3.451","3.195","192.16K","4.57%"
"20-11-2024","3.193","2.962","3.237","2.942","225.69K","-1.08%"
"19-11-2024","3.228","3.166","3.280","3.132","170.83K","1.32%"
"18-11-2024","3.186","3.198","3.220","3.088","167.48K","2.91%"
"15-11-2024","3.096","3.037","3.113","2.975","123.42K","1.38%"
"14-11-2024","3.054","3.201","3.201","3.036","149.36K","-4.62%"
"13-11-2024","3.202","3.137","3.234","3.057","161.61K","2.20%"
"12-11-2024","3.133","3.155","3.216","3.081","176.30K","0.22%"
"11-11-2024","3.126","3.013","3.169","3.009","146.08K","6.98%"
"08-11-2024","2.922","2.952","3.002","2.905","105.68K","-0.88%"
"07-11-2024","2.948","2.966","3.029","2.915","103.38K","-1.96%"
"06-11-2024","3.007","2.948","3.050","2.921","95.62K","2.42%"
"05-11-2024","2.936","3.042","3.070","2.915","93.38K","-3.29%"
"04-11-2024","3.036","2.849","3.053","2.800","109.06K","3.41%"
"01-11-2024","2.936","2.965","2.983","2.908","102.07K","-1.08%"
"31-10-2024","2.968","3.073","3.087","2.958","119.05K","-4.29%"
"30-10-2024","3.101","3.169","3.171","3.032","91.51K","8.46%"
"29-10-2024","2.859","2.841","2.908","2.794","143.88K","-0.14%"
"28-10-2024","2.863","3.044","3.044","2.801","253.31K","-7.41%"
"25-10-2024","3.092","3.017","3.101","2.967","144.71K","2.45%"
"24-10-2024","3.018","2.952","3.062","2.903","199.16K","4.03%"
"23-10-2024","2.901","2.878","2.980","2.848","121.31K","0.21%"
"22-10-2024","2.895","2.850","2.920","2.787","142.72K","3.14%"
"21-10-2024","2.807","2.740","2.862","2.712","111.07K","1.52%"
"18-10-2024","2.765","2.829","2.842","2.762","128.38K","-2.30%"
"17-10-2024","2.830","2.851","2.892","2.819","103.63K","-0.39%"
"16-10-2024","2.841","2.937","2.942","2.830","121.63K","-3.50%"
"15-10-2024","2.944","2.922","3.001","2.882","94.81K","0.48%"
"14-10-2024","2.930","3.030","3.039","2.915","80.92K","-3.84%"
"11-10-2024","3.047","3.115","3.146","3.030","81.89K","-1.77%"
"10-10-2024","3.102","3.099","3.128","3.048","94.80K","-0.45%"
"09-10-2024","3.116","3.176","3.185","3.084","88.81K","-2.59%"
"08-10-2024","3.199","3.202","3.230","3.162","75.26K","-0.59%"
"07-10-2024","3.218","3.282","3.316","3.197","104.32K","-2.63%"
"04-10-2024","3.305","3.370","3.406","3.288","83.10K","-1.90%"
"03-10-2024","3.369","3.329","3.387","3.303","59.49K","2.18%"
"02-10-2024","3.297","3.288","3.378","3.272","63.44K","0.27%"
"01-10-2024","3.288","3.330","3.338","3.253","69.60K","-1.70%"
"30-09-2024","3.345","3.302","3.368","3.274","67.90K","1.24%"
"27-09-2024","3.304","3.173","3.332","3.145","78.66K","20.01%"
"26-09-2024","2.753","2.829","2.883","2.731","187.37K","-2.27%"
"25-09-2024","2.817","2.814","2.887","2.795","183.26K","0.93%"
"24-09-2024","2.791","2.861","2.895","2.776","153.22K","-2.21%"
"23-09-2024","2.854","2.735","2.874","2.728","212.24K","4.97%"
"20-09-2024","2.719","2.603","2.743","2.582","183.09K","4.78%"
"19-09-2024","2.595","2.568","2.604","2.505","138.18K","1.17%"
"18-09-2024","2.565","2.606","2.656","2.560","95.43K","-1.84%"
"17-09-2024","2.613","2.645","2.691","2.603","118.35K","-0.99%"
"16-09-2024","2.639","2.580","2.656","2.547","108.85K","1.93%"
"13-09-2024","2.589","2.638","2.666","2.575","109.16K","-1.67%"
"12-09-2024","2.633","2.583","2.666","2.533","138.04K","2.17%"
"11-09-2024","2.577","2.538","2.597","2.513","114.66K","1.26%"
"10-09-2024","2.545","2.516","2.580","2.497","111.76K","0.71%"
"09-09-2024","2.527","2.557","2.581","2.506","109.25K","-2.70%"
"06-09-2024","2.597","2.580","2.615","2.561","60.76K","0.70%"
"05-09-2024","2.579","2.503","2.614","2.482","74.26K","2.91%"
"04-09-2024","2.506","2.541","2.612","2.499","62.74K","-1.73%"
"03-09-2024","2.550","2.512","2.571","2.439","97.33K","2.08%"
"30-08-2024","2.498","2.535","2.553","2.479","66.97K","-1.23%"
"29-08-2024","2.529","2.524","2.552","2.454","62.68K","20.60%"
"28-08-2024","2.097","2.085","2.140","2.021","165.22K","0.58%"
"27-08-2024","2.085","2.123","2.126","2.045","182.03K","-2.11%"
"26-08-2024","2.130","2.160","2.186","2.114","121.32K","-2.29%"
"23-08-2024","2.180","2.201","2.211","2.154","112.32K","-0.64%"
"22-08-2024","2.194","2.328","2.337","2.167","166.91K","-5.19%"
"21-08-2024","2.314","2.333","2.364","2.271","105.72K","-0.69%"
"20-08-2024","2.330","2.367","2.401","2.301","100.47K","-1.15%"
"19-08-2024","2.357","2.250","2.374","2.225","133.82K","4.90%"
"16-08-2024","2.247","2.341","2.343","2.237","107.16K","-3.64%"
"15-08-2024","2.332","2.345","2.421","2.317","121.87K","-0.47%"
"14-08-2024","2.343","2.288","2.395","2.272","126.59K","2.76%"
"13-08-2024","2.280","2.324","2.373","2.267","119.24K","-2.65%"
"12-08-2024","2.342","2.311","2.394","2.301","99.38K","2.18%"
"09-08-2024","2.292","2.290","2.333","2.247","103.64K","0.97%"
"08-08-2024","2.270","2.228","2.321","2.161","135.05K","1.38%"
"07-08-2024","2.239","2.133","2.247","2.125","118.66K","5.56%"
"06-08-2024","2.121","2.058","2.140","2.015","83.46K","3.72%"
"05-08-2024","2.045","2.069","2.083","1.991","69.66K","-1.59%"
"02-08-2024","2.078","2.114","2.147","2.041","87.31K","-0.86%"
"01-08-2024","2.096","2.158","2.243","2.093","97.44K","-3.05%"
