Date,Price
2025-11-11,4.565
2025-11-12,4.231
2025-12-02,3.565
2025-12-03,4.084
2025-12-05,3.646
2025-12-06,3.492
2025-12-08,2.808
2025-12-09,2.941
2025-12-11,4.533
2025-12-12,4.113
2026-02-01,3.618
2026-02-02,3.237
2026-03-02,3.311
2026-04-02,3.468
2026-05-01,3.523
2026-06-01,3.35
2026-07-01,3.525
2026-08-01,3.407
2026-09-01,3.169
2026-12-01,3.409
